estacion_id;nombre;x_ed50;y_ed50;prov_id
1;5043E;524560,72;4124706,68;18
2;5044E;525338,59;4131365,58;18
3;5046;512742,14;4141654,68;18
4;5094E;504336,85;4139760,03;18
5;5095;506459,30;4141980,29;18
6;5102;478823,77;4130688,36;18
7;5107;500088,80;4112467,31;18
8;5109E;490414,50;4116355,65;18
9;5112;488035,05;4128229,40;18
10;5112A;487947,22;4128784,23;18
11;5112B;488300,47;4127896,20;18
12;5113A;484677,90;4134114,83;18
13;5113O;503988,63;4127556,15;18
14;5504;467181,96;4121850,39;18
15;5504A;467181,96;4121850,39;18
16;5506F;458639,67;4116340,92;18
17;5510;447180,29;4114851,83;18
18;5510A;447350,21;4113630,37;18
19;5511E;465519,13;4105659,54;18
20;5514;443954,19;4110323,91;18
21;5515;447278,80;4116404,45;18
22;5517;451193,94;4102734,75;18
23;5518;449410,61;4101857,69;18
24;5520;443221,96;4107111,40;18
25;5524A;439492,11;4119785,29;18
26;5524O;431152,19;4119849,49;18
27;5526;435931,57;4106608,87;18
28;5529;436182,44;4116259,42;18
29;5530E;431123,11;4116299,32;18
30;5533;457080,22;4141089,66;18
31;5536I;448214,88;4138588,13;18
32;5538;447371,41;4131159,82;18
33;5545E;436781,18;4136780,66;18
34;5549A;434105,29;4123043,36;18
35;5554E;432361,93;4126829,56;18
36;5555O;418466,64;4129283,26;18
37;5556U;423550,28;4123021,90;18
38;5562E;420637,13;4124491,34;18
39;5562O;420016,42;4115177,09;18
40;5568U;428954,26;4090577,33;18
41;5569E;435220,50;4083315,82;18
42;6203;413499,81;4076852,05;4
43;6207;415022,20;4068515,66;4
44;6219;438301,66;4065764,27;18
45;6220;437382,95;4074424,29;18
46;6221;439898,52;4076957,82;18
47;6221E;438990,91;4074745,45;18
48;6222I;440914,84;4069184,92;18
49;6224;482999,47;4092293,74;18
50;6225;483793,76;4088742,23;18
51;6226;473352,49;4081446,81;18
52;6234;476243,24;4095305,28;18
53;6234E;474991,67;4093312,01;18
54;6236;473730,94;4088545,54;18
55;6242U;467685,39;4091117,96;18
56;6243;471146,28;4087888,31;18
57;6243E;467677,36;4089010,18;18
58;6245;464146,74;4075268,20;18
59;6246;463855,11;4090578,73;18
60;6247;462223,02;4083929,56;18
61;6248;461969,64;4087036,95;18
62;6249;444227,49;4097896,33;18
63;6250;446713,96;4097214,66;18
64;6251;457667,01;4099371,61;18
65;6252;450443,10;4095971,65;18
66;6253;452117,89;4093188,49;18
67;6254E;443711,33;4087138,33;18
68;6257I;457171,34;4089278,57;18
69;6257O;455649,52;4087733,23;18
70;6258;456178,14;4086621,10;18
71;6261;447837,57;4077349,28;18
72;6262;448280,04;4076791,89;18
73;6263;449081,93;4076676,12;18
74;6264;454259,99;4077756,13;18
75;6265;447520,27;4069252,73;18
76;6266;443082,07;4072942,13;18
77;6267;446015,61;4071258,99;18
78;6268;449380,77;4066911,83;18
79;6269;453491,70;4067665,03;18
80;6273;472616,70;4074349,32;18
81;6274B;476178,37;4072119,95;18
82;6274U;481005,13;4076101,45;18
83;6275;481709,52;4071884,44;18
84;6277;501071,15;4067982,29;4
85;6278;504005,83;4091279,22;4
86;6279;500355,78;4098156,32;4
87;6281;495103,86;4091057,82;18
88;6282;486115,66;4092842,75;18
89;6283;497593,86;4081960,10;4
90;6284;494919,12;4079853,53;18
91;6286;508467,80;4080189,03;4
92;6287;504368,91;4077634,47;4
93;6290;511060,34;4074312,53;4
94;6291;517673,04;4068444,23;4
95;6292E;527568,86;4072131,23;4
96;6292O;526320,47;4071905,42;4
97;6294;528565,49;4067586,23;4
98;6295;530483,34;4080461,27;4
99;6295E;535470,63;4081479,02;4
100;6296;538086,42;4074501,33;4
101;6299E;503995,80;4112468,26;18
102;6300;514027,12;4114032,14;4
103;6301;519082,01;4116482,77;4
104;6301U;517138,68;4111930,05;4
105;6302;518209,10;4109713,50;4
106;6303;528672,32;4115067,76;4
107;6304;524262,27;4105180,23;4
108;6305;531010,11;4106977,35;4
109;6306;533708,92;4098667,21;4
110;6307;507736,50;4100156,72;4
111;6308;508983,92;4097828,27;4
112;6309;509966,55;4094279,40;4
113;6310;522590,29;4098963,03;4
114;6311;523043,43;4095858,00;4
115;6312;518863,78;4094960,16;4
116;6313;532423,96;4085793,39;4
117;6314;538372,08;4090255,69;4
118;6315;541044,74;4108240,56;4
119;6316;535639,44;4104887,76;4
120;6317;542152,35;4099925,41;4
121;6318;535178,92;4087357,47;4
122;6319;552986,77;4116517,07;4
123;6320;546341,09;4114480,83;4
124;6321;562660,63;4104712,21;4
125;6321O;556434,49;4105333,97;4
126;6322;554151,48;4100992,21;4
127;6324;548084,63;4088862,96;4
128;6325;551773,37;4082672,00;4
129;6325A;556915,11;4086698,73;4
130;6326;563207,71;4078977,25;4
131;6327;570770,31;4091573,54;4
132;6328;570770,31;4091573,54;4
133;6328N;571089,17;4074712,58;4
134;6331;571058,42;4099675,08;4
135;6334I;570554,03;4117422,72;4
136;6335;570567,99;4115758,58;4
137;6346;535523,45;4132290,17;4
138;6347;534761,12;4123855,19;4
139;6348;544618,38;4137881,08;4
140;6348E;542600,86;4134209,29;4
141;6349;548506,05;4123923,38;4
142;6350;550055,17;4131809,73;4
143;6351;549780,81;4133250,41;4
144;6352;550983,00;4139470,79;4
145;6356;556510,56;4133626,01;4
146;6357;563784,72;4120586,17;4
147;6357I;561572,43;4131886,53;4
148;6357U;567347,53;4118838,78;4
149;6358;567594,98;4121170,72;4
150;6359;562085,88;4134331,24;4
151;6360;565445,42;4135133,52;4
152;6361;572512,81;4126981,26;4
153;6378;412987,98;4087841,33;18
